ID,idade,gênero,gênero_3_TEXT,decl_racial,decl_racial_5_TEXT,escolaridade,escolaridade_transf,área_estudo,curso,cidade_bairro_1,renda,renda_e_pessoas,contrato_AB,contrato_CD,contrato_EF,verif_contrato_2,poltrona_venda_reais,poltrona_compra_reai,poltrona_venda_porce,Q30,verif_poltrona,A casa_1,A casa_2,A casa_3,verif_casa,economicam,felicidade,atratividade_trab,verif_maria,setal1997-funnel
60,30,Homem,NA,Pardo,NA,Superior (completo),2,Exatas,gestão da produção industrial,são paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,D,NA,10%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,NA,Carolina,NA,30 e 90,8
61,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia Quimica,Lorena,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,21,Homem,NA,Branco,NA,Superior (completo),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,57,Mulher,NA,Outro (Especificar),Raça Humana.,Pós graduação (completa),2,Humanas,"Administração de empresa com enfase em análise de sistemas, e pós graduação em marketing",São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,B,NA,NA,30%,NA,NA,Igual,Menos suscetível,Permaneceu o mesmo,2,1,3,1 ano,NA,Maria,NA,60 e 150,8
65,30,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,Enfermagem - Concluído,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,D,NA,20%,Mais suscetível,Igual,NA,NA,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,9
66,62,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Pedagogia,Boa Esperança,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,60 e 150,NA
67,53,Mulher,NA,Asiático,NA,Superior (completo),2,Exatas,Desenho industrial,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,60 e 150,NA
68,25,Mulher,NA,Asiático,NA,Superior (completo),2,Humanas,Publicidade,São paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Medicina,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,A,NA,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,NA,Carolina,NA,60 e 150,7
71,25,Mulher,NA,Branco,NA,Superior (incompleto),2,Biológicas,Medicina,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,60 e 150,NA
72,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Medicina,São José do Rio Preto,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA
73,19,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Ciências Atuariais,SP,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,B,NA,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,2,3,1,1 ano,Carolina,NA,NA,60 e 150,8
74,21,Mulher,NA,Branco,NA,Superior (completo),2,Artes,Artes plasticas,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA
75,56,Mulher,NA,Asiático,NA,Superior (completo),2,Exatas,engenharia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,D,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,3,1,2,1 ano,Maria,NA,NA,60 e 150,9
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,21,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Publicidade e propaganda,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,60 e 150,NA
79,33,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Administração,São Marcos/RS,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,60 e 150,NA
80,56,Homem,NA,Branco,NA,Pós graduação (completa),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,59,Mulher,NA,Asiático,NA,Superior (completo),2,Humanas,Artes/ DI,Sorocaba,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,90 e 60,NA
82,56,Mulher,NA,Branco,NA,Superior (completo),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,22,Homem,NA,Branco,NA,Superior (incompleto),2,Artes,Música,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,60 e 150,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,25,Homem,NA,Branco,NA,Superior (incompleto),2,Humanas,Administração,Belém,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,22,Homem,NA,Branco,NA,Superior (incompleto),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,Sao Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,F,30%,Mais suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,1,2,3,Não sei,NA,Carolina,NA,60 e 150,5
91,23,Homem,NA,Branco,NA,Superior (incompleto),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Artes,Dança,Campinas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,NA,NA,NA,NA,NA,Igual,Igual,Permaneceu o mesmo,3,1,2,Não sei,NA,Carolina,NA,60 e 150,NA
93,41,Homem,NA,Branco,NA,Superior (completo),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,22,Mulher,NA,Branco,NA,Superior (incompleto),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,27,Mulher,NA,Branco,NA,Superior (completo),2,Saúde,Psicologia,São paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,100 e 50,NA
97,75,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Não cursei,Nenhum,Sao paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",2,NA,D,NA,30%,Igual,Menos suscetível,NA,NA,Aumentou,1,3,2,Não sei,Carolina,NA,NA,30 e 90,5
98,33,Homem,NA,Branco,NA,Pós graduação (completa),2,Exatas,Gestão Financeira,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,25,Homem,NA,Pardo,NA,Superior (completo),2,Exatas,Ciências Contábeis,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,NA
100,36,Mulher,NA,Branco,NA,Superior (completo),2,Exatas,Gestao bancária,Osasco,NA,3,NA,NA,E,20%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,2,3,1,Não sei,NA,NA,Maria,60 e 150,10
101,33,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia Civil,São Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,100 e 50,NA
102,60,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Jornalismo,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,60 e 150,NA
103,60,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Direito,Sao paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",2,NA,D,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,2,1,3,1 ano,Maria,NA,NA,60 e 150,7
104,26,Homem,NA,Pardo,NA,Pós graduação (incompleta),2,Exatas,Engenharia Química,Osasco,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,NA,E,20%,Mais suscetível,Mais suscetível,NA,NA,Aumentou,1,2,3,1 ano,NA,Carolina,NA,60 e 150,10
105,31,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Administração,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,B,NA,NA,20%,NA,NA,Igual,Menos suscetível,Permaneceu o mesmo,1,2,3,1 ano,NA,NA,Carolina,60 e 150,9
106,26,Homem,NA,Asiático,NA,Superior (completo),2,Exatas,Engenharia de Produção,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,E,20%,NA,NA,Igual,Menos suscetível,Permaneceu o mesmo,1,3,2,Não sei,Maria,NA,NA,90 e 60,7
107,26,Homem,NA,Branco,NA,Pós graduação (incompleta),2,Humanas,Administração,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,D,NA,20%,NA,NA,Igual,Igual,Aumentou,1,3,2,1 ano,NA,NA,Carolina,60 e 150,8
108,54,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,NA,F,Não sei,Igual,Igual,NA,NA,Aumentou,3,2,1,Não sei,Carolina,NA,NA,60 e 150,8
109,30,Homem,NA,Branco,NA,Pós graduação (completa),2,Exatas,Engenharia de produção,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,D,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,10
110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,76,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Direito e Adm. de empresas,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA
112,44,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Administração,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,90,Homem,NA,Pardo,NA,Ensino Fundamental (incompleto),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,28,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Direito,Jundiai,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",1,B,NA,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,NA,Carolina,NA,30 e 90,10
115,29,Homem,NA,Preto,NA,Superior (completo),2,Humanas,Design digital,São paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,60 e 150,NA
116,26,Homem,NA,Branco,NA,Pós graduação (completa),2,Exatas,Engenharia,Sao paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carolina,NA,NA,NA
117,39,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA
118,25,Mulher,NA,Branco,NA,Pós graduação (incompleta),2,Humanas,Marketing,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",2,B,NA,NA,10%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,7
119,58,Mulher,NA,Branco,NA,Pós graduação (completa),2,Biológicas,Educacao Fisica,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,NA,C,NA,20%,Menos suscetível,Menos suscetível,NA,NA,Diminuiu,2,1,3,Não sei,NA,Maria,NA,60 e 150,8
120,46,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Administração,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,E,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,1,2,3,6 meses,NA,NA,Carolina,60 e 150,8
121,73,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Direito,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,B,NA,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,2,1,3,1 ano,Maria,NA,NA,70 e 120,10
122,71,Mulher,NA,Branco,NA,Superior (completo),2,Saúde,Psicologia,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,NA,NA,E,20%,Igual,Menos suscetível,NA,NA,Aumentou,2,1,3,Não sei,NA,Maria,NA,60 e 150,7
123,60,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Direito,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",1,NA,D,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,NA,Carolina,60 e 150,8
124,28,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,Itapecerica da Serra,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,F,20%,Igual,Menos suscetível,NA,NA,Aumentou,3,1,2,1 ano,NA,NA,Maria,60 e 150,9
125,20,Mulher,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia de produção,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",5,NA,D,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,1,2,1 ano,Maria,NA,NA,60 e 150,10
126,22,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Psicologia,São Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,Não sei,Carolina,NA,NA,60 e 150,NA
127,22,Homem,NA,Branco,NA,Superior (completo),2,Exatas,Engenharia Mecânica,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,C,NA,20%,Mais suscetível,Menos suscetível,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,10
128,21,Homem,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,Vargem Grande Paulista,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",5,NA,NA,E,20%,NA,NA,Mais suscetível,Menos suscetível,Permaneceu o mesmo,3,2,1,1 ano,NA,NA,Maria,60 e 150,4
129,23,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Psicologia,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",2,B,NA,NA,20%,NA,NA,Igual,Igual,Aumentou,1,2,3,1 ano,NA,Maria,NA,60 e 150,6
130,22,Homem,NA,Branco,NA,Superior (incompleto),2,Saúde,Medicina,Belo Horizonte,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",2,NA,NA,E,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,1,2,3,Não sei,Maria,NA,NA,60 e 150,9
131,23,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",3,NA,D,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,10
132,24,Homem,NA,Branco,NA,Superior (completo),2,Humanas,Administração,São paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,D,NA,20%,Mais suscetível,Menos suscetível,NA,NA,Aumentou,1,2,3,1 ano,NA,NA,Maria,60 e 150,7
133,21,Homem,NA,Branco,NA,Superior (incompleto),2,Saúde,Educação Física e Esporte,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,B,NA,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Permaneceu o mesmo,2,3,1,1 ano,NA,Maria,NA,60 e 150,7
134,41,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Direito,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,90 e 60,NA
135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,21,Mulher,NA,Branco,NA,Superior (completo),2,Artes,Animação,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,A,NA,NA,Não sei,NA,NA,Menos suscetível,Menos suscetível,Permaneceu o mesmo,3,2,1,1 ano,NA,Carolina,NA,60 e 150,7
137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,54,Mulher,NA,Branco,NA,Pós graduação (completa),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,26,Mulher,NA,Branco,NA,Superior (completo),2,Exatas,Engenharia Civil,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,NA,E,20%,Igual,Mais suscetível,NA,NA,Diminuiu,1,3,2,Não sei,NA,NA,Carolina,60 e 150,9
140,57,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,SAO paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,A,NA,NA,10%,Igual,Igual,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,NA,Carolina,NA,60 e 150,7
141,28,Homem,NA,Branco,NA,Pós graduação (completa),2,Exatas,Engenharia Ambiental,Paraná,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",4,NA,NA,F,30%,NA,NA,Igual,Menos suscetível,Aumentou,1,2,3,1 ano,NA,NA,Maria,60 e 150,7
142,22,Homem,NA,Branco,NA,Superior (incompleto),2,Humanas,Direito,Campina Grande (PB),"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",3,B,NA,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,60 e 150,10
143,25,Homem,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,"São Paulo, SP","Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,D,NA,Não sei,Igual,Igual,NA,NA,Permaneceu o mesmo,3,1,2,2 anos,NA,NA,Maria,60 e 150,8
144,30,Homem,NA,Branco,NA,Pós graduação (incompleta),2,Saúde,Psicologia,Rio de Janeiro,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",4,NA,NA,E,20%,NA,NA,Menos suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,10
145,23,Mulher,NA,Branco,NA,Superior (completo),2,Saúde,Psicologia,Brasilia,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",2,NA,D,NA,Não sei,Igual,Igual,NA,NA,Aumentou,3,2,1,1 ano,Carolina,NA,NA,60 e 150,6
146,51,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,Medicina,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,B,NA,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,1,2,3,Não sei,NA,Maria,NA,30 e 90,9
147,43,Mulher,NA,Branco,NA,Pós graduação (completa),2,Biológicas,Medicina,Serra Negra,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,A,NA,NA,Não sei,NA,NA,Igual,Menos suscetível,Permaneceu o mesmo,1,2,3,Não sei,NA,Carolina,NA,60 e 150,3
148,21,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia,SP,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,C,NA,20%,Igual,Menos suscetível,NA,NA,Aumentou,1,2,3,1 ano,NA,NA,Maria,60 e 150,8
149,30,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,Medicina,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",1,NA,NA,E,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,Maria,NA,NA,60 e 150,6
150,37,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,B,NA,NA,Não sei,NA,NA,Igual,Igual,Permaneceu o mesmo,1,3,2,1 ano,Maria,NA,NA,60 e 150,7
151,44,Homem,NA,Branco,NA,Superior (completo),2,Exatas,Engenharia,Porto Alegre,NA,NA,NA,D,NA,20%,Igual,Igual,NA,NA,Aumentou,1,2,3,1 ano,NA,Carolina,NA,60 e 150,9
152,51,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,Nutrição,Botucatu,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,NA,F,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,2,1,3,2 anos,Maria,NA,NA,60 e 150,8
153,23,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psico,Sp,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA
154,23,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Administração,Coimbra,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,60 e 150,NA
155,23,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Medicina,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,60 e 150,NA
156,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",4,B,NA,NA,20%,Igual,Menos suscetível,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,NA,Carolina,NA,60 e 150,8
157,23,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Direito,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,60 e 150,NA
158,25,Homem,NA,Branco,NA,Superior (completo),2,Exatas,Economia,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,Carolina,NA,60 e 150,NA
159,27,Mulher,NA,Indígena,NA,Pós graduação (incompleta),2,Artes,Design,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",1,NA,C,NA,20%,Mais suscetível,Igual,NA,NA,Não sei,3,2,1,Não sei,NA,Maria,NA,60 e 150,1
160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,34,Homem,NA,Branco,NA,Pós graduação (completa),2,Biológicas,Educação Física,Governador Valadares,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",4,NA,D,NA,30%,NA,NA,Igual,Igual,Permaneceu o mesmo,1,2,3,1 ano,Maria,NA,NA,100 e 50,3
